Visa Rank	Employer	H1B LCA(2017-2019) (Denied, Withdrawn/Total)	Green Card LC(2017-2019)  (Denied, Withdrawn/Total)
129	345	Gss Infotech Ct, Inc.	9/608	2/34
130	346	Teradata Operations, Inc.	18/591	1/48
131	348	Kyyba Inc.	22/590	1/48
132	354	Samsung Information Systems America, Inc.	11/501	2/132
133	370	California Creative Solutions, Inc.	27/553	2/60
134	372	Aspire Systems, Inc.	28/571	1/41
135	374	It America Inc	17/527	2/77
136	375	Innovative Intelligent Solutions Llc	42/570	0/31
137	378	Quality Matrix Inc	27/559	7/39
138	386	Infogain Corporation	19/491	1/102
139	387	Coolsoft, Llc	46/511	5/77
140	388	Ciber, Inc.	10/520	7/64
141	388	Swanktek Inc	18/489	4/95
142	393	Alpha Net Consulting Llc	27/551	3/31
143	393	Everest Consulting Group, Inc	10/520	3/62
144	398	Tanisha Systems Inc	26/546	1/30
145	400	Kpit Infosystems, Inc.	23/433	16/142
146	401	Fast Switch Ltd	34/539	2/35
147	405	Pamten, Inc.	40/505	3/65
148	406	Microstrategy Incorporated	35/449	23/120
149	412	Techno-Comp Inc	19/509	0/55
150	414	Lead It Corporation	31/539	3/23
151	415	Pure Storage, Inc.	3/451	0/110
152	419	Sage It, Inc.	6/527	1/30
153	421	Bitwise Inc	2/496	2/57
154	427	Nic Info Tek, Inc.	19/466	7/80
155	430	Revereit Llc	21/522	5/19
156	431	Impetus Technologies, Inc.	23/504	2/36
157	435	Etek It Services, Inc.	25/518	0/21
158	435	Dropbox, Inc.	37/441	3/98
159	438	Orpine, Inc.	15/492	3/46
160	442	Splunk, Inc	6/454	0/77
161	443	Xavient Information Systems, Inc.	21/486	1/43
162	446	Ca, Inc.	4/462	0/66
163	450	Agreeya Solutions, Inc.	12/468	0/54
164	451	Denken Solutions, Inc.	75/496	2/25
165	458	Client Network Services, Inc.	12/441	7/75
166	459	Square, Inc.	4/430	0/85
167	460	Vista Applied Solutions Group Inc	4/455	1/57
168	460	Etouch Systems Corporation	12/461	5/51
169	468	Charter Global, Inc.	16/477	0/29
170	472	Smart Works, Llc	17/480	0/23
171	477	Oracle Financial Services Software, Inc.	17/439	1/60
172	482	Connvertex Technologies Inc.	19/475	6/19
173	486	Dgn Technologies Inc	26/403	62/90
174	491	Savi Technologies, Inc	33/475	0/14
175	492	Electronic Arts, Inc.	22/370	10/118
176	497	Sagarsoft, Inc	16/465	3/21
177	498	Piorion Solutions, Inc.	11/424	4/61
178	500	Galaxe.Solutions, Inc	11/431	3/53
179	507	Proficient Business Systems, Inc.	6/441	1/39
180	509	Arista Networks, Inc.	20/374	0/105
181	510	Baha Industries Corp.	32/425	1/53
182	517	Techdemocracy Llc	12/440	10/34
183	519	Guidewire Software, Inc.	12/352	3/121
184	520	Iconsoft Inc.	8/423	1/48
185	520	Vyzer Solutions Inc	3/459	0/12
186	525	Northstar Group Inc	1/436	3/32
187	525	Friendly Consultants, Inc.	52/451	2/17
188	528	Lancesoft, Inc.	15/435	0/32
189	536	Artech Information Systems Llc	13/432	0/25
190	537	United Software Group Inc.	9/422	0/34
191	542	Samsung Semiconductor, Inc.	4/370	4/82
192	544	Siemens Plm Software Inc.	18/394	4/56
193	544	International Software Systems Inc	0/427	0/23
194	544	Siritek Inc	13/422	3/28
195	544	Sriven Systems, Inc.	28/406	2/44
196	544	Paramount Software Solutions	15/393	0/57
197	550	Lhp Software, Llc	8/407	6/42
198	552	Aim Big, Inc.	35/408	1/40
199	554	Sunera Technologies, Inc	11/423	0/24
200	555	Yash & Lujan Consulting, Inc.	0/410	0/34
201	559	Dizer Corp	20/393	2/49
202	559	Vintech Solutions Inc	0/438	0/4
203	565	Infobiz Systems Llc	2/436	1/4
204	566	Adroit Associates, Inc.	17/420	0/19
205	569	Visionet Systems, Inc.	11/400	4/36
206	569	Vastika, Inc.	8/345	6/91
207	576	Ncr Corporation	18/368	4/67
208	577	Pyramid Consulting, Inc.	14/392	3/42
209	579	Antra Inc	0/416	1/16
210	580	Indotronix International Corporation	16/396	1/35
211	581	Ansys, Inc.	7/377	3/52
212	582	Aricent Technologies (Holdings) Limited	18/396	3/32
213	582	Yelp Inc.	1/315	1/113
214	586	Utis, Inc.	5/418	0/9
215	590	Ramps International, Inc	1/366	1/59
216	590	Kastech Solutions Llc	9/365	1/60
217	592	Saama Technologies, Inc.	30/388	1/36
218	594	Millennium Software, Inc.	36/378	1/45
219	595	New York Technology Partners, Inc.	19/374	3/48
220	595	Comtec Consultants, Inc.	4/378	4/44
221	598	Verizon Communications Inc., & All Its Subsidiaries & Affiliates	1/57	5/364
222	598	Sapphire Software Solutions Inc	10/360	10/61
223	598	Fortinet, Inc.	1/293	6/128
224	608	Infolob Solutions, Inc.	8/379	1/38
225	611	Pvr Technologies Inc.	61/382	0/34
226	611	Tabner, Inc.	3/387	2/29
227	614	Premier It Solutions, Inc	1/386	0/29
228	614	Anjaneyap, Inc.	21/380	2/35
229	617	Hortonworks, Inc	19/314	3/100
230	621	Techaspect Solutions, Inc.	11/395	2/18
231	621	Ncs Pearson, Inc.	17/330	7/83
232	623	Akvarr Inc	5/369	41/43
233	626	Quantum Integrators Group, Llc	3/381	2/30
234	629	Manhattan Associates, Inc.	4/246	3/162
235	631	Synerzy Software Solutions Inc	5/391	2/16
236	636	Kronsys, Inc.	12/379	0/24
237	639	Apps Associates, Llc	12/369	1/33
238	642	Camelot Integrated Solutions Inc	6/357	2/42
239	647	Delta System & Software, Inc	8/376	2/22
240	653	Ellie Mae, Inc.	3/318	2/78
241	656	Inspirage Llc	17/374	1/21
242	656	Scepter Technologies Inc	5/359	2/36
243	659	Infomatics Corp	8/357	6/35
244	661	Mentor Graphics Corporation	14/315	3/76
245	665	Katalyst Technologies, Inc.	6/366	0/23
246	665	Anira Solutions Inc	17/376	6/13
247	671	Sagitec Solutions Llc	9/302	1/84
248	671	Horizon International Trd. Inc	6/357	1/29
249	674	Rackspace Us, Inc.	20/292	5/93
250	674	Riverbed Technology, Inc.	18/286	6/99
251	676	Infostretch Corporation	18/341	0/42
252	678	Baanyan Software Services, Inc	18/365	0/17
253	683	Sbp Consulting Inc.	5/346	3/33
254	683	Global Infotech Inc	14/339	35/40
255	686	Oslo Solutions Llc	11/362	2/16
256	690	Unicorn Technologies, Llc	8/362	1/14
257	693	Infomerica, Inc.	13/323	2/52
258	703	Techpillars, Inc.	8/341	2/31
259	703	Mindlance, Inc.	4/342	4/30
260	705	I-Link Solutions Inc.	10/318	0/52
261	705	Smartsoft International, Inc.	16/339	3/31
262	705	Apex Technology Systems, Inc	13/327	14/43
263	710	Webilent Technology Inc	7/307	9/62
264	710	Atlassian, Inc.	6/324	1/45
265	714	Bally Gaming, Inc.	9/324	4/43
266	718	Marvel Technologies, Inc.	13/349	3/17
267	718	Delasoft, Inc.	7/342	0/24
268	723	Microexcel, Inc	7/327	6/38
269	723	Twilio, Inc.	3/309	3/56
270	737	Epic Systems Corporation	3/164	14/197
271	737	Frontier Technologies, Llc	41/332	1/29
272	741	Bell Info Solutions, Llc	12/314	2/46
273	741	Pantar Solutions Inc	14/331	2/29
274	741	Ptc Inc.	14/302	1/58
275	744	Maxima Consulting, Inc.	3/303	0/56
276	747	3s Business Corporation	1/320	7/38
277	752	Sysintelli, Inc	18/333	2/24
278	752	Namitus Technologies Inc.	6/345	0/12
279	752	Concur Technologies, Inc.	2/290	0/67
280	752	Vsquare Infotech Inc.	6/301	4/56
281	757	Blizzard Entertainment, Inc.	6/269	2/87
282	757	Sourceinfotech Inc.	2/332	1/24
283	759	Vensoft Llc	14/318	1/37
284	767	Tableau Software, Inc.	3/283	0/69
285	776	Interactive Communications International, Inc.	7/292	2/58
286	780	Tripadvisor Llc	5/304	0/45
287	784	American Unit, Inc	9/314	3/33
288	784	Lucid Technologies, Inc	7/323	3/24
289	788	Palvai Global Services Inc	7/336	1/10
290	794	Gartner Inc.	5/311	0/33
291	794	Softova, Inc.	10/330	0/14
292	794	Cybage Software Inc	24/325	0/19
293	799	C-Vision, Inc.	21/294	1/49
294	799	Niteosoft Inc	7/333	0/10
295	809	Successfactors, Inc.	3/286	0/55
296	809	Centraprise, Corp	25/304	9/37
297	816	Conch Technologies, Inc.	1/320	1/18
298	819	Akvelon, Inc.	115/303	1/33
299	822	Esystems, Inc.	16/314	1/21
300	825	Isite Technologies Inc	12/313	3/21
301	825	Sapvix Inc	40/274	38/60
302	825	Softcom Systems Inc.	5/306	1/28
303	828	Yashco Systems, Inc.	13/277	8/56
304	828	Allied Informatics, Inc	4/310	0/23
305	831	Detroit Engineered Products, Inc.	11/298	1/34
306	831	Cloudera, Inc.	2/226	4/106
307	839	Kairos Technologies, Inc.	7/312	0/19
308	841	Sree Infotech Llc	9/303	1/27
309	846	Equinox It Solutions, Llc	33/321	2/8
310	851	A9.Com, Inc.	8/222	2/105
311	853	Okta, Inc.	13/270	3/56
312	856	Pandora Media, Inc.	5/237	5/88
313	860	Enterprise It Resources, Inc	6/303	2/21
314	860	Jade Global Inc.	19/299	0/25
315	863	Adaequare Inc	3/314	0/9
316	871	Citigroup Technology, Inc.	7/267	0/54
317	871	Silicon Staff It Services, Inc.	23/290	6/31
318	871	It Cats, Llc	11/281	8/40
319	878	Riot Games, Inc.	16/250	0/70
320	878	Reliance Global Services Inc.	5/308	1/12
321	881	Hadiamondstar Software Solutions, Llc.	1/279	4/40
322	881	Virtue Group, Llc	26/289	1/30
323	885	Imcs Group Inc	7/310	0/8
324	885	Virtual Matrix Corporation	3/314	0/4
325	894	Hallmark Global Technologies Inc	5/288	0/28
326	894	Srnl International Inc	5/305	2/11
327	897	Infisystems, Llc	5/315	-
328	897	Satin Solutions Llc	43/288	3/27
329	897	Intellect Business Solutions, Llc	30/296	0/19
330	900	Only It Consulting, Llc	6/293	6/21
331	902	Itelligence, Inc.	10/311	1/2
332	904	Flexera Global, Inc.	12/279	0/33
333	914	Vigna Solutions, Inc.	11/276	5/33
334	915	Amadeus North America, Inc.	3/220	1/88
335	920	Eateam, Inc.	5/297	0/10
336	923	Softpath Technologies Llc	7/283	2/23
337	923	Business Intelli Solutions, Inc.	6/270	2/36
338	925	Smart Source Technologies, Inc.	5/276	2/29
339	929	Everest Computers Inc.	1/282	3/22
340	935	Cellco Partnership	9/299	0/4
341	935	Spln International Llc	6/302	1/1
342	935	Summitworks Technologies Inc	9/268	4/35
343	943	Data Systems Integration Group Inc.	1/258	0/44
344	943	Fireeye, Inc.	13/249	1/53
345	943	Promatrix Corp	29/271	1/31
346	949	Openwave Computing Llc	10/273	0/28
347	952	Advent Global Solutions Inc.	5/282	2/18
348	952	Savvy Info Systems Inc	3/263	34/37
349	952	Schrill Technologies Inc.	10/276	0/24
350	961	Dataserv Inc	2/268	1/30
351	961	Apttus Corporation	33/242	2/56
352	964	Softnice, Inc.	3/266	0/31
353	969	Rite Pros Inc	10/281	0/14
354	972	Resource Logistics, Inc.	11/247	5/47
355	972	Galax-Esystems Corporation	17/249	7/45
356	978	Infocepts, Llc	11/268	0/25
357	985	Cavium, Inc.	13/244	2/47
358	992	Red Hat, Inc.	4/252	3/38
359	992	Aqua Information Systems, Inc.	1/287	0/3
360	992	Sgs Technologie, Llc	12/244	2/46
361	996	Ispace, Inc	8/265	0/24
362	996	Openlogix Corporation	11/252	3/37
363	996	Gcom Software, Inc.	3/240	2/49
364	1000	Svk Systems Inc	16/267	1/21
365	1002	Mouri Tech Llc	25/273	0/14
366	1002	Realsoft Technologies, Llc	18/268	1/19
367	1008	Info Services Llc	19/255	2/31
368	1008	Redeemsoft, Llc	38/278	1/8
369	1014	Nicira, Inc.	10/205	0/80
370	1014	Sysfore Technologies, Inc.	13/264	0/21
371	1019	Dataformix Technologies Inc	26/267	2/17
372	1019	Asta Crs, Inc.	11/261	5/23
373	1024	Indus Valley Consultants, Inc.	0/270	0/13
374	1024	Prelude Systems Inc.	10/252	4/31
375	1024	International Technology Solutions, Inc. Columbia, SC	15/263	1/20
376	1029	Unify Solutions, Inc.	8/254	0/28
377	1034	Remote Tiger, Inc.	31/269	0/12
378	1040	Infosmart Technologies, Inc	8/266	1/14
379	1040	Vigilant Technologies Llc	32/256	0/24
380	1047	Globalpoint, Inc.	17/254	0/24
381	1047	Anjus Llc	5/230	0/48
382	1052	It Division, Inc.	17/266	0/10
383	1055	Sas Institute Inc.	6/228	0/47
384	1055	Trianz Consulting Inc.	1/240	1/35
385	1067	Box, Inc.	8/193	3/80
386	1067	Fpt Usa Corp.	3/257	1/16
387	1067	Param Consulting Services, Inc	2/261	1/12
388	1067	Deemsys Inc	5/228	6/45
389	1074	Akshaya Inc	7/196	47/76
390	1077	Verinon Technology Solutions Ltd.	3/255	6/16
391	1077	Nomura America Services, Llc	8/230	5/41
392	1077	Trisync Technologies, Inc.	6/270	0/1
393	1077	Trans American Information Systems Inc	2/244	0/27
394	1085	Hexacorp Llc	2/260	1/10
395	1085	Edifecs, Inc.	17/247	0/23
396	1085	Elan Technologies, Inc.	20/252	1/18
397	1085	Svam International Inc.	15/229	2/41
398	1085	Infotech Prism Llc	12/259	2/11
399	1091	Saxon Global, Inc.	6/263	0/6
400	1095	Ipivot, Llc	2/244	1/24
401	1095	Logistic Solutions, Inc.	4/253	0/15
402	1095	Sri Tech Solutions Inc	8/253	0/15
403	1101	Onward Technologies, Inc	5/243	1/23
404	1101	Softhq	13/244	5/22
405	1108	Saipsit, Inc.	9/221	0/44
406	1115	Maruthi Technologies LLC (DBA: Anblicks)	4/255	0/9
407	1117	Skoruz Technologies, Inc	3/250	1/13
408	1117	Sapot Systems, Inc.	0/248	0/15
409	1117	Innocore Solutions, Inc	8/243	1/20
410	1117	Mansai, Inc	6/243	1/20
411	1117	Bdsn International Inc	0/257	0/6
412	1122	Palantir Technologies Inc.	22/196	4/66
413	1122	Spartan Solutions Inc	11/238	1/24
414	1122	Advanced Technology Group Usa, Inc.	8/242	3/20
415	1122	Mcafee, Inc.	13/248	0/14
416	1122	Talent It Services, Inc.	2/232	0/30
417	1122	National Instruments Corporation	4/190	9/72
418	1133	Equinix, Inc.	2/231	0/30
419	1139	Choice Hotels International Services Corp	10/197	0/63
420	1147	Infodat International, Inc.	7/225	6/33
421	1147	Jda Software, Inc.	19/239	0/19
422	1147	Nixsol, Inc	6/240	6/18
423	1155	Enterprise Software Solutions Inc.	1/252	3/5
424	1155	Rei Systems Inc.	13/227	1/30
425	1155	Virgo Inc	8/236	1/21
426	1161	Nartal Systems Inc	8/244	0/12
427	1161	Staid Logic Llc	5/241	1/15
428	1161	Spruce Technology Inc.	9/230	2/26
429	1167	Bhrigus, Inc.	4/246	0/9
430	1172	Innominds Software, Inc.	5/250	0/4
431	1172	Kaizen Technologies Inc.	4/236	0/18
432	1172	Synergy Technologies, Llc.	1/208	1/46
433	1172	Vlink, Inc.	23/214	9/40
434	1172	Performance Resources Ny Inc	3/226	2/28
435	1172	It Trailblazers, Llc	13/220	1/34
436	1185	Hermitage Infotech, Llc	12/231	2/22
437	1185	Sena Info Technologies, Inc.	10/233	0/20
438	1185	Imetris Corporation	38/236	0/17
439	1185	Cerebral Technologies, Inc.	10/236	2/17
440	1185	Venturesoft Global Inc	5/203	29/50
441	1193	Indsoft, Inc.	23/236	1/16
442	1193	Geeksoft, Llc	22/236	1/16
443	1193	Servesys Corporation	10/213	10/39
444	1203	Advansoft International Inc	14/236	1/15
445	1206	Resource Informatics Group, Inc	9/234	1/16
446	1212	Gssr Inc	8/219	3/30
447	1217	Sparta Consulting Inc.	13/224	7/24
448	1217	Ecom Consulting Inc	11/227	3/21
449	1217	Thoughtworks, Inc.	18/208	3/40
450	1217	Proofpoint, Inc.	5/175	4/73
451	1223	Tanvi It Solutions Inc	4/216	1/31
452	1223	Fidelis Software Solutions LLC	14/240	0/7
453	1223	Isync Solutions Inc	11/226	2/21
454	1223	Ziontech Solutions, Inc.	2/233	1/14
455	1223	Navitas Business Consulting, Inc.	20/221	5/26
456	1223	Atos It Solutions And Services, Inc.	9/246	0/1
457	1233	Andhus Technologies Inc	0/229	0/17
458	1233	Intelliswift Software, Inc.	1/226	0/20
459	1233	Sogeti Usa, Llc	7/207	3/39
460	1240	Spirent Communications, Inc.	8/183	0/62
461	1240	Numbers Only, Inc.	2/205	0/40
462	1243	Neotech Solutions, Inc.	17/226	3/18
463	1243	Concepts Information Technology, Inc	11/218	2/26
464	1243	Apps Solutions Inc	3/214	0/30
465	1243	Ariston Tek Inc	11/219	2/25
466	1250	Renee Systems, Inc	7/235	0/8
467	1253	Neumeric Technologies Corporation	4/223	2/19
468	1260	Airysoft, Inc	0/233	2/7
469	1270	Oberon It Inc	2/231	0/7
470	1283	Ebix Inc	3/212	1/24
471	1283	It Spin Inc	3/221	6/15
472	1283	Eureka Infotech, Inc	1/227	1/9
473	1286	Cloudray, Inc.	6/221	1/14
474	1286	Sun Soft Technologies, Inc.	15/230	0/5
475	1286	Ameritech Global Inc.	3/220	2/15
476	1293	Sterling 5, Inc.	11/222	1/12
477	1293	Avant Systems, Inc.	7/218	2/16
478	1293	Datawin Systems Inc	3/231	0/3
479	1293	Symbioun Technologies, Inc	17/213	1/21
480	1300	Horizonsoftsolutions, Inc	2/211	1/22
481	1300	Whatsapp Inc.	3/170	1/63
482	1313	Gomiapp, Llc	1/222	1/9
483	1313	Jrd Systems, Inc.	3/223	0/8
484	1313	Swift Solutions Inc	29/213	1/18
485	1320	M3bi, Llc	5/205	4/25
486	1320	Essential Technologies, Inc.,	12/219	0/11
487	1320	It & Ebusiness Consulting Services Inc.	10/215	1/15
488	1329	R3 Technology, Inc	22/209	0/20
489	1335	Seven Seas Technologies, Inc.	10/203	5/25
490	1335	Tetrasoft, Inc.	25/203	1/25
491	1342	Ez2 Technologies, Inc.	8/200	0/27
492	1342	Orchestra Technology, Inc.	12/209	2/18
493	1342	Istream Solutions, Inc.	18/186	2/41
494	1342	Machine Zone, Inc.	2/176	3/51
495	1348	Quinnox, Inc.	8/208	0/18
496	1348	Zylog Systems Limited	9/195	8/31
497	1353	Hrk Solutions Llc	6/219	1/6
498	1357	Prodapt North America	2/209	0/15
499	1357	Cogent Infotech Corporation	1/210	0/14
500	1357	Systime Computer Corporation	7/199	2/25
501	1362	Vst Consulting Inc	8/204	2/19
502	1366	Primesoft, Inc	7/213	0/9
503	1366	American It Solutions, Inc	3/217	1/5
504	1373	Roku, Inc.	1/164	2/57
505	1373	R Systems Inc.	3/204	1/17
506	1379	Bioinfo Systems Llc	18/213	2/7
507	1385	Zebra Technologies Corporation	7/185	2/34
508	1385	Alltech Consulting Services Inc	16/187	4/32
509	1385	Kolla Soft Inc	7/173	9/46
510	1385	Arkstek, Inc.	40/204	0/15
511	1392	E-Business International Inc	3/195	2/23
512	1395	Empower Professionals	6/188	0/29
513	1395	Jean Martin Inc	1/202	0/15
514	1404	Indus Group, Inc.	5/204	2/12
515	1404	Amerisoftpro Systems Llc	1/212	0/4
516	1404	Vaktech Corporation Llc	0/196	1/20
517	1408	Vitech Systems Group, Inc.	8/179	0/36
518	1416	Enternet Business Systems, Inc	3/205	1/9
519	1416	Satya Marg Solutions Inc	17/196	5/18
520	1416	Software Guidance & Assistance, Inc.	20/193	0/21
521	1416	Ait Global, Inc	7/189	1/25
522	1416	Daz Systems, Inc.	11/204	0/10
523	1416	Greenbyte Technologies, Llc	15/193	0/21
524	1416	Innovative Consulting Solutions, Llc	3/192	0/22
525	1432	Ilink Systems, Inc.	3/177	0/36
526	1432	Saicon Consultants, Inc.	3/198	0/15
527	1432	Techwave Consulting Inc	5/190	9/23
528	1441	O2 Technologies Inc.	9/185	2/27
529	1441	Rapidit Inc.	8/201	1/11
530	1441	Btree Solutions Inc	40/206	1/6
531	1441	Global Bridge Infotech Inc,.	11/197	0/15
532	1441	Qualys, Inc.	0/166	2/46
533	1441	W/H/I/P Systems, Llc D/B/A Aroghia Group, Llc	2/194	1/18
534	1455	M & R Consultants Corp	3/191	0/20
535	1455	Oasys Technologies Inc	12/200	1/11
536	1455	American Business Solutions, Inc.	1/184	1/27
537	1472	Precision Technologies Corp.	31/193	2/17
538	1472	Thoughtwave Software And Solutions Inc	6/184	3/26
539	1479	Chelsoft Solutions Co.	0/186	2/23
540	1479	Acxiom Corporation	16/170	4/39
541	1479	Prowise Solutions, Inc.	4/200	0/9
542	1490	Pace Computer Solutions Inc	20/195	2/13
543	1490	C2s Technologies Inc	6/192	6/16
544	1490	Zillion Technologies Inc.	17/185	0/23
545	1490	Amzur Technologies, Inc	22/208	-
546	1490	S&R Professionals L.P	4/194	0/14
547	1502	Rang Technologies, Inc.	20/202	0/5
548	1502	Highpoint Solutions, Llc	3/184	0/23
549	1508	Itcaps Llc	18/182	1/24
550	1513	Sbase Technologies Inc	5/181	1/24
551	1513	Meridiansoft, Inc.	6/183	0/22
552	1521	Data-Core Systems, Inc	4/193	0/11
553	1521	Webject Systems, Inc.	7/189	0/15
554	1532	Reflexis Systems, Inc.	5/169	1/34
555	1532	Exzac Inc	7/148	2/55
556	1532	Cyg Tec, Inc.	6/191	0/12
557	1532	Tts Solutions Inc.	10/191	0/12
558	1545	American Information Technology Corporation	9/186	1/16
559	1551	E-Base Technologies Inc	3/195	1/6
560	1551	Epace Technologies Inc.	11/178	3/23
561	1551	Prospance, Inc.	17/191	0/10
562	1551	Windycity Technologies Inc	1/194	2/7
563	1551	Kalven Technologies Inc	2/180	2/21
